"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2024","513.75","515.95","516.18","513.02","","-0.42%"
"03/31/2024","515.94","515.93","515.97","515.93","","0.00%"
"03/29/2024","515.93","515.66","516.02","515.57","","0.06%"
"03/28/2024","515.61","515.22","516.12","514.93","","0.02%"
"03/27/2024","515.50","512.77","515.68","512.48","","0.56%"
"03/26/2024","512.63","513.26","514.67","512.55","","-0.11%"
"03/25/2024","513.21","514.32","514.52","513.11","","-0.25%"
"03/22/2024","514.50","515.97","516.09","514.17","","-0.26%"
"03/21/2024","515.82","514.13","517.27","514.10","","0.68%"
"03/20/2024","512.34","509.29","513.28","508.74","","0.59%"
"03/19/2024","509.36","507.97","509.50","506.20","","0.23%"
"03/18/2024","508.17","505.96","509.71","505.95","","0.51%"
"03/15/2024","505.58","508.39","508.47","504.76","","-0.64%"
"03/14/2024","508.85","510.33","511.13","506.95","","-0.30%"
"03/13/2024","510.39","511.25","511.46","509.82","","-0.07%"
"03/12/2024","510.76","506.14","511.09","505.82","","0.87%"
"03/11/2024","506.37","507.17","507.33","504.38","","-0.33%"
"03/08/2024","508.04","509.56","512.30","507.47","","-0.20%"
"03/07/2024","509.04","504.78","509.71","504.29","","0.91%"
"03/06/2024","504.44","501.24","506.03","501.09","","0.58%"
"03/05/2024","501.51","504.99","505.15","499.98","","-0.73%"
"03/04/2024","505.20","505.64","506.25","504.79","","-0.03%"
"03/01/2024","505.35","501.50","505.61","501.48","","0.74%"
"02/29/2024","501.64","499.54","502.16","499.39","","0.40%"
"02/28/2024","499.63","501.33","501.38","498.96","","-0.35%"
"02/27/2024","501.37","500.44","501.42","500.20","","0.20%"
"02/26/2024","500.37","501.86","502.13","500.37","","-0.27%"
"02/23/2024","501.74","501.54","503.14","501.14","","0.11%"
"02/22/2024","501.20","493.63","520.14","489.90","","1.62%"
"02/21/2024","493.19","493.12","493.56","491.08","","-0.04%"
"02/20/2024","493.37","494.76","495.39","491.98","","-0.30%"
"02/19/2024","494.83","495.00","495.03","494.60","","0.06%"
"02/16/2024","494.55","495.01","496.86","493.88","","0.00%"
"02/15/2024","494.53","491.27","494.83","491.24","","0.74%"
"02/14/2024","490.90","486.84","491.00","486.52","","0.69%"
"02/13/2024","487.54","493.25","493.65","485.16","","-1.07%"
"02/12/2024","492.83","493.00","494.65","492.63","","-0.01%"
"02/09/2024","492.88","491.13","493.13","490.77","","0.38%"
"02/08/2024","491.01","491.34","491.57","490.28","","-0.04%"
"02/07/2024","491.20","488.66","491.48","488.51","","0.61%"
"02/06/2024","488.22","485.69","488.47","485.69","","0.49%"
"02/05/2024","485.84","487.39","488.04","484.23","","-0.45%"
"02/02/2024","488.03","485.70","488.75","484.98","","0.62%"
"02/01/2024","485.00","481.10","485.45","480.58","","0.62%"
"01/31/2024","481.99","485.93","487.01","481.17","","-0.87%"
"01/30/2024","486.21","487.33","487.39","485.70","","-0.09%"
"01/29/2024","486.66","483.85","487.15","483.83","","0.61%"
"01/26/2024","483.73","483.15","484.69","482.59","","0.06%"
"01/25/2024","483.43","481.53","483.80","481.34","","0.30%"
"01/24/2024","481.97","479.45","484.28","479.45","","0.52%"
"01/23/2024","479.48","479.07","479.86","478.14","","0.09%"
"01/22/2024","479.06","478.01","480.31","477.74","","0.32%"
"01/19/2024","477.54","473.63","477.73","473.52","","1.00%"
"01/18/2024","472.82","469.99","473.22","469.94","","0.66%"
"01/17/2024","469.70","474.31","474.39","468.27","","-0.97%"
"01/16/2024","474.32","477.37","477.38","472.88","","-0.72%"
"01/15/2024","477.75","478.06","478.59","477.50","","-0.10%"
"01/12/2024","478.24","477.27","480.01","477.03","","0.34%"
"01/11/2024","476.60","477.41","478.74","473.90","","-0.05%"
"01/10/2024","476.84","475.25","477.34","474.91","","0.37%"
"01/09/2024","475.10","476.55","476.90","473.65","","-0.22%"
"01/08/2024","476.13","471.76","476.13","470.53","","0.85%"
"01/05/2024","472.11","471.31","473.85","469.43","","0.17%"
"01/04/2024","471.31","471.42","473.75","471.19","","-0.02%"
"01/03/2024","471.42","475.81","475.85","471.12","","-0.97%"
"01/02/2024","476.05","479.26","479.49","474.64","","-0.72%"
"01/01/2024","479.48","480.08","480.77","478.49","","0.00%"
"12/29/2023","479.48","480.08","480.77","478.49","","-0.22%"
