"Date","Price","Open","High","Low","Vol.","Change %"
"04/12/2024","3351.01","3393.57","3396.75","3343.10","","-1.18%"
"04/11/2024","3391.01","3376.82","3399.04","3361.40","","0.33%"
"04/10/2024","3379.72","3411.41","3415.70","3367.46","","-0.95%"
"04/09/2024","3412.09","3410.19","3423.43","3387.70","","0.10%"
"04/08/2024","3408.57","3403.62","3416.06","3403.50","","0.18%"
"04/05/2024","3402.36","3384.72","3411.77","3370.64","","0.47%"
"04/04/2024","3386.31","3411.18","3437.94","3384.15","","-0.68%"
"04/03/2024","3409.62","3403.56","3418.42","3397.23","","0.18%"
"04/02/2024","3403.40","3424.42","3427.85","3393.25","","-0.62%"
"04/01/2024","3424.73","3438.75","3438.80","3416.86","","-0.38%"
"03/29/2024","3437.76","3436.82","3437.76","3436.13","","0.03%"
"03/28/2024","3436.78","3436.78","3440.85","3432.00","","-0.01%"
"03/27/2024","3436.98","3415.26","3437.91","3414.61","","0.66%"
"03/26/2024","3414.29","3419.87","3430.44","3413.79","","-0.17%"
"03/25/2024","3420.18","3427.94","3428.65","3417.56","","-0.23%"
"03/22/2024","3428.12","3434.88","3436.82","3425.75","","-0.19%"
"03/21/2024","3434.69","3421.34","3445.72","3421.34","","0.58%"
"03/20/2024","3414.89","3393.69","3421.19","3387.78","","0.63%"
"03/19/2024","3393.37","3380.32","3394.35","3369.22","","0.38%"
"03/18/2024","3380.67","3363.03","3392.88","3362.57","","0.52%"
"03/15/2024","3363.03","3381.80","3384.21","3357.32","","-0.58%"
"03/14/2024","3382.48","3396.39","3400.38","3368.55","","-0.40%"
"03/13/2024","3396.19","3397.99","3404.08","3390.72","","-0.03%"
"03/12/2024","3397.25","3367.08","3399.77","3363.24","","0.90%"
"03/11/2024","3367.08","3378.14","3378.29","3351.66","","-0.39%"
"03/08/2024","3380.14","3393.38","3412.86","3375.10","","-0.33%"
"03/07/2024","3391.26","3356.41","3395.64","3354.63","","1.02%"
"03/06/2024","3357.03","3335.90","3368.44","3334.44","","0.59%"
"03/05/2024","3337.20","3361.88","3362.26","3325.40","","-0.75%"
"03/04/2024","3362.28","3364.37","3370.77","3358.65","","-0.05%"
"03/01/2024","3364.04","3335.53","3365.89","3335.33","","0.80%"
"02/29/2024","3337.20","3323.17","3340.79","3320.15","","0.44%"
"02/28/2024","3322.64","3331.71","3331.83","3316.95","","-0.28%"
"02/27/2024","3331.88","3325.94","3332.58","3322.16","","0.18%"
"02/26/2024","3325.79","3335.03","3338.37","3325.34","","-0.25%"
"02/23/2024","3334.04","3331.64","3344.40","3329.11","","0.13%"
"02/22/2024","3329.86","3273.11","3334.16","3272.84","","1.76%"
"02/21/2024","3272.19","3272.76","3273.72","3255.96","","-0.07%"
"02/20/2024","3274.33","3287.43","3289.64","3263.21","","-0.38%"
"02/19/2024","3286.86","3285.78","3287.67","3285.68","","0.05%"
"02/16/2024","3285.12","3290.97","3302.45","3279.53","","-0.14%"
"02/15/2024","3289.74","3266.47","3291.55","3266.46","","0.74%"
"02/14/2024","3265.67","3239.48","3266.94","3235.86","","0.78%"
"02/13/2024","3240.26","3282.55","3285.97","3223.28","","-1.24%"
"02/12/2024","3281.01","3281.39","3294.92","3279.47","","-0.01%"
"02/09/2024","3281.42","3267.12","3283.40","3266.29","","0.47%"
"02/08/2024","3266.14","3265.08","3268.48","3260.65","","0.03%"
"02/07/2024","3265.07","3246.40","3267.41","3245.34","","0.63%"
"02/06/2024","3244.51","3233.34","3246.09","3232.61","","0.34%"
"02/05/2024","3233.53","3246.00","3248.52","3220.67","","-0.43%"
"02/02/2024","3247.64","3229.58","3254.35","3218.51","","0.65%"
"02/01/2024","3226.80","3200.87","3229.65","3193.72","","0.67%"
"01/31/2024","3205.32","3238.26","3243.53","3199.70","","-0.97%"
"01/30/2024","3236.76","3238.73","3241.72","3232.77","","0.01%"
"01/29/2024","3236.32","3215.14","3239.39","3214.84","","0.62%"
"01/26/2024","3216.23","3213.13","3223.81","3208.55","","0.12%"
"01/25/2024","3212.32","3201.74","3215.88","3199.36","","0.27%"
"01/24/2024","3203.55","3192.42","3220.93","3191.21","","0.40%"
"01/23/2024","3190.90","3188.86","3192.78","3181.32","","0.06%"
"01/22/2024","3189.10","3176.23","3198.34","3176.23","","0.43%"
"01/19/2024","3175.36","3144.93","3176.49","3144.90","","1.02%"
"01/18/2024","3143.20","3122.58","3145.97","3121.95","","0.73%"
"01/17/2024","3120.44","3145.23","3148.14","3109.55","","-0.81%"
"01/16/2024","3146.04","3164.96","3164.97","3135.55","","-0.60%"
"01/15/2024","3165.14","3166.77","3170.28","3163.30","","-0.10%"
"01/12/2024","3168.31","3160.23","3181.22","3160.16","","0.35%"
"01/11/2024","3157.32","3163.60","3173.63","3137.14","","-0.13%"
"01/10/2024","3161.50","3147.49","3165.20","3146.86","","0.46%"
"01/09/2024","3146.97","3152.89","3157.21","3135.37","","-0.21%"
"01/08/2024","3153.62","3117.56","3153.62","3111.74","","1.06%"
"01/05/2024","3120.55","3113.66","3133.88","3102.63","","0.21%"
"01/04/2024","3114.12","3117.72","3132.49","3113.07","","-0.05%"
"01/03/2024","3115.68","3144.70","3145.56","3113.65","","-0.95%"
"01/02/2024","3145.42","3168.54","3170.93","3135.57","","-0.75%"
"01/01/2024","3169.25","3168.07","3169.25","3168.07","","0.00%"
